년월,순위,카테고리,기사수,비율,월전체기사수,키워드1,빈도1,키워드2,빈도2,키워드3,빈도3,키워드4,빈도4,키워드5,빈도5,키워드6,빈도6,키워드7,빈도7,키워드8,빈도8,키워드9,빈도9,키워드10,빈도10
2025-09,1,주식투자/트레이딩,737,30.3%,2434,증권,355,투자자,232,금,196.0,코스피,146.0,상장,99.0,코스닥,89.0,주가,86.0,AI,78.0,반도체,70.0,주주,68.0
2025-09,2,부동산/실물자산,571,23.5%,2434,금,362,부동산,230,분양,65.0,은행,48.0,달러,27.0,전세,24.0,경쟁력,23.0,청약,18.0,신용,16.0,아파트,13.0
2025-09,3,테크/스타트업,358,14.7%,2434,AI,243,반도체,127,인공지능,81.0,스타트업,50.0,중국,33.0,휴머노이드,26.0,금,22.0,로봇,22.0,경쟁력,21.0,증권,16.0
2025-09,4,지정학/국제정세,282,11.6%,2434,중국,204,관세,50,대만,30.0,반도체,29.0,경쟁력,27.0,금,26.0,AI,21.0,러시아,17.0,트럼프,13.0,달러,10.0
2025-09,5,기업경영/리더십,200,8.2%,2434,경쟁력,112,CEO,39,경영자,31.0,회장,21.0,AI,20.0,매출,16.0,경영진,15.0,금,12.0,반도체,12.0,조직,10.0
2025-09,6,거시경제/금융정책,127,5.2%,2434,금,75,은행,63,금리,59.0,중앙은행,34.0,인플레이션,27.0,한은,25.0,GDP,12.0,연준,11.0,신용,7.0,달러,7.0
2025-09,7,재테크/개인금융,63,2.6%,2434,금,50,보험,35,연금,14.0,원금,12.0,은행,7.0,계좌,4.0,적금,3.0,다각화,3.0,예금,2.0,신용,2.0
2025-09,8,금융시스템/위기,47,1.9%,2434,은행,29,신용,13,화폐,9.0,금,4.0,부채,3.0,증권,2.0,회장,1.0,GDP,1.0,케인스,1.0,보험,1.0
2025-09,9,투자철학/대가,33,1.4%,2434,주주,32,금,9,은행,3.0,경영진,2.0,서한,2.0,경쟁력,1.0,인공지능,1.0,인수합병,1.0,회장,1.0,한은,1.0
2025-09,10,경제이론/학술,16,0.7%,2434,모델,13,경제학자,3,,,,,,,,,,,,,,,,
2025-10,1,주식투자/트레이딩,1232,30.3%,4070,증권,595,투자자,432,금,320.0,코스피,263.0,반도체,163.0,AI,150.0,코스닥,145.0,중국,142.0,주가,134.0,상승세,131.0
2025-10,2,부동산/실물자산,879,21.6%,4070,금,497,부동산,443,분양,83.0,은행,81.0,전세,54.0,달러,44.0,아파트,42.0,AI,21.0,청약,15.0,경쟁력,14.0
2025-10,3,테크/스타트업,725,17.8%,4070,AI,549,반도체,286,인공지능,121.0,스타트업,87.0,테슬라,57.0,중국,45.0,금,37.0,경쟁력,37.0,증권,34.0,자율주행,32.0
2025-10,4,지정학/국제정세,478,11.7%,4070,중국,332,관세,102,반도체,57.0,금,52.0,러시아,35.0,대만,33.0,경쟁력,30.0,트럼프,26.0,AI,22.0,미중,16.0
2025-10,5,기업경영/리더십,335,8.2%,4070,경쟁력,175,CEO,67,AI,56.0,경영자,45.0,회장,45.0,매출,35.0,경영진,26.0,반도체,24.0,인공지능,13.0,금,9.0
2025-10,6,거시경제/금융정책,181,4.4%,4070,은행,108,금,101,한은,64.0,금리,61.0,중앙은행,46.0,인플레이션,36.0,GDP,22.0,부동산,21.0,AI,19.0,중국,18.0
2025-10,7,재테크/개인금융,117,2.9%,4070,금,93,보험,60,연금,26.0,원금,21.0,은행,17.0,저축,10.0,계좌,9.0,배당금,8.0,AI,7.0,경쟁력,4.0
2025-10,8,금융시스템/위기,72,1.8%,4070,은행,55,신용,29,금,18.0,화폐,11.0,중국,5.0,중앙은행,4.0,한은,3.0,금리,3.0,부채,3.0,보험,2.0
2025-10,9,투자철학/대가,26,0.6%,4070,주주,25,금,10,AI,3.0,은행,3.0,서한,3.0,중국,2.0,CEO,1.0,인공지능,1.0,경영진,1.0,매출,1.0
2025-10,10,경제이론/학술,25,0.6%,4070,모델,20,경제학자,5,,,,,,,,,,,,,,,,
2025-11,1,주식투자/트레이딩,1404,33.3%,4222,증권,646,투자자,468,금,354.0,코스피,301.0,AI,221.0,코스닥,217.0,상장,204.0,주가,180.0,반도체,172.0,매도,114.0
2025-11,2,부동산/실물자산,772,18.3%,4222,금,462,부동산,338,분양,84.0,은행,72.0,아파트,45.0,달러,43.0,경쟁력,42.0,AI,34.0,청약,25.0,신용,23.0
2025-11,3,테크/스타트업,758,18.0%,4222,AI,598,반도체,275,인공지능,173.0,스타트업,96.0,금,42.0,투자자,40.0,은행,37.0,중국,36.0,증권,30.0,테슬라,29.0
2025-11,4,기업경영/리더십,427,10.1%,4222,경쟁력,225,CEO,73,매출,66.0,AI,64.0,회장,60.0,경영자,50.0,반도체,33.0,경영진,24.0,인공지능,14.0,인수합병,13.0
2025-11,5,지정학/국제정세,404,9.6%,4222,중국,299,관세,62,반도체,50.0,대만,48.0,AI,33.0,경쟁력,32.0,러시아,31.0,금,30.0,우크라,17.0,부동산,9.0
2025-11,6,거시경제/금융정책,184,4.4%,4222,금,108,은행,78,금리,76.0,한은,51.0,인플레이션,38.0,중앙은행,33.0,환율,28.0,연준,22.0,GDP,21.0,AI,19.0
2025-11,7,재테크/개인금융,147,3.5%,4222,금,125,연금,60,보험,59.0,은행,22.0,원금,21.0,저축,12.0,계좌,8.0,부동산,8.0,금리,7.0,적금,5.0
2025-11,8,금융시스템/위기,70,1.7%,4222,은행,53,신용,31,금,15.0,화폐,7.0,금리,6.0,부채,5.0,저축,5.0,한은,2.0,부동산,2.0,보험,2.0
2025-11,9,투자철학/대가,37,0.9%,4222,주주,36,금,11,은행,6.0,경쟁력,4.0,서한,3.0,부동산,3.0,회장,2.0,AI,2.0,매출,1.0,주가,1.0
2025-11,10,경제이론/학술,19,0.5%,4222,모델,14,경제학자,5,,,,,,,,,,,,,,,,
2025-12,1,주식투자/트레이딩,1310,31.4%,4178,증권,608,투자자,449,금,403.0,코스닥,258.0,상장,204.0,코스피,194.0,반도체,144.0,AI,144.0,주가,136.0,은행,123.0
2025-12,2,부동산/실물자산,817,19.6%,4178,금,524,부동산,333,분양,85.0,은행,71.0,달러,37.0,경쟁력,36.0,AI,34.0,아파트,30.0,전세,25.0,반도체,24.0
2025-12,3,테크/스타트업,749,17.9%,4178,AI,558,반도체,288,인공지능,152.0,스타트업,89.0,중국,54.0,금,44.0,테슬라,43.0,경쟁력,41.0,휴머노이드,34.0,자율주행,31.0
2025-12,4,기업경영/리더십,399,9.6%,4178,경쟁력,232,AI,69,회장,67.0,경영자,60.0,CEO,56.0,매출,28.0,경영진,23.0,반도체,23.0,조직,17.0,금,14.0
2025-12,5,지정학/국제정세,346,8.3%,4178,중국,250,관세,55,반도체,52.0,대만,39.0,금,38.0,AI,27.0,경쟁력,27.0,러시아,24.0,우크라,18.0,달러,11.0
2025-12,6,거시경제/금융정책,225,5.4%,4178,은행,123,금,120,금리,87.0,한은,66.0,중앙은행,48.0,인플레이션,41.0,환율,35.0,GDP,31.0,AI,16.0,반도체,15.0
2025-12,7,재테크/개인금융,150,3.6%,4178,금,129,연금,59,보험,54.0,은행,38.0,원금,20.0,저축,19.0,예금,15.0,한은,12.0,금리,10.0,계좌,7.0
2025-12,8,금융시스템/위기,82,2.0%,4178,은행,63,신용,33,금,17.0,부채,9.0,화폐,8.0,한은,7.0,저축,5.0,금리,3.0,AI,3.0,예금,2.0
2025-12,9,투자철학/대가,73,1.7%,4178,주주,72,금,26,은행,11.0,경영진,4.0,배당금,3.0,중국,3.0,부동산,3.0,스타트업,2.0,전쟁,2.0,연금,2.0
2025-12,10,경제이론/학술,27,0.6%,4178,모델,19,경제학자,7,금,1.0,행동경제학,1.0,이론,1.0,,,,,,,,,,
